"批次/序列号码","内部参考号","产品/内部参考号","产品/名称","产品/产品类别/上级名称","产品/产品类别/中文名称","产品/CN 品牌","显示名称","在手数量","有效期","产品/批次可用","产品/预测数量","产品/打板","产品/计量单位","产品/基准成本","活动","产品/有效期","产品/销售价格","公司"
"L271100498","","D20329","Heyuan Sea Salt Noodles | 禾源 海盐米纸 10bags*150g","面条类干货","米纸","禾源","11-02-2027/0.0","457.0","2027-11-02","914.0","914.0","","Case","16.389","","720","23.0","Crestline New Jersey Inc"
"L280400499","","D20329","Heyuan Sea Salt Noodles | 禾源 海盐米纸 10bags*150g","面条类干货","米纸","禾源","04-21-2028/0.0","457.0","2028-04-21","914.0","914.0","","Case","16.389","","720","23.0","Crestline New Jersey Inc"
"L270700500","","D03285","Heyuan Chocolate Noodles | 禾源 巧克力即食面 12bags*100g","面条类干货","即食面","禾源","07-22-2027/0.0","39.0","2027-07-22","117.0","117.0","14*10=140","Case","29.363","","360","40.5","Crestline New Jersey Inc"
"L270400501","","D03285","Heyuan Chocolate Noodles | 禾源 巧克力即食面 12bags*100g","面条类干货","即食面","禾源","04-20-2027/0.0","39.0","2027-04-20","117.0","117.0","14*10=140","Case","29.363","","360","40.5","Crestline New Jersey Inc"
"L270200502","","D03285","Heyuan Chocolate Noodles | 禾源 巧克力即食面 12bags*100g","面条类干货","即食面","禾源","02-04-2027/0.0","39.0","2027-02-04","117.0","117.0","14*10=140","Case","29.363","","360","40.5","Crestline New Jersey Inc"
"L260500503","","D03285","Heyuan Chocolate Noodles | 禾源 巧克力即食面 12bags*100g","面条类干货","即食面","禾源","05-22-2026/0.0","0.0","2026-05-22","117.0","117.0","14*10=140","Case","29.363","","360","40.5","Crestline New Jersey Inc"
"2025-08-25","","D03285","Heyuan Chocolate Noodles | 禾源 巧克力即食面 12bags*100g","面条类干货","即食面","禾源","08-25-2025/0.0","0.0","2025-08-25","117.0","117.0","14*10=140","Case","29.363","","360","40.5","Crestline New Jersey Inc"
"L271100505","","D90139","Heyuan Taro Noodles | 禾源 芋头米粉 6bags*150g","面条类干货","米粉","禾源","11-22-2027/0.0","73.0","2027-11-22","145.0","145.0","17*6=102","Case","22.483","","720","31.0","Crestline New Jersey Inc"
"L261000506","","D90139","Heyuan Taro Noodles | 禾源 芋头米粉 6bags*150g","面条类干货","米粉","禾源","10-23-2026/0.0","72.0","2026-10-23","145.0","145.0","17*6=102","Case","22.483","已到警报日期","720","31.0","Crestline New Jersey Inc"
"L270600507","","D71114","Heyuan Mala Noodles | 禾源 麻辣米粉 12bags*150g","面条类干货","米粉","禾源","06-21-2027/0.0","14.0","2027-06-21","28.0","28.0","","Case","12.887","","720","18.5","Crestline New Jersey Inc"
"L280700508","","D71114","Heyuan Mala Noodles | 禾源 麻辣米粉 12bags*150g","面条类干货","米粉","禾源","07-08-2028/0.0","14.0","2028-07-08","28.0","28.0","","Case","12.887","","720","18.5","Crestline New Jersey Inc"
"2026-02-06","","D71114","Heyuan Mala Noodles | 禾源 麻辣米粉 12bags*150g","面条类干货","米粉","禾源","02-06-2026/0.0","0.0","2026-02-06","28.0","28.0","","Case","12.887","","720","18.5","Crestline New Jersey Inc"
"L271200510","","D44335","Heyuan Melon Noodles | 禾源 哈密瓜米纸 30bags*100g","面条类干货","米纸","禾源","12-25-2027/0.0","31.0","2027-12-25","93.0","93.0","12*7=84","Case","26.139","","720","33.5","Crestline New Jersey Inc"
"L270100511","","D44335","Heyuan Melon Noodles | 禾源 哈密瓜米纸 30bags*100g","面条类干货","米纸","禾源","01-30-2027/0.0","31.0","2027-01-30","93.0","93.0","12*7=84","Case","26.139","","720","33.5","Crestline New Jersey Inc"
"L270300512","","D44335","Heyuan Melon Noodles | 禾源 哈密瓜米纸 30bags*100g","面条类干货","米纸","禾源","03-17-2027/0.0","31.0","2027-03-17","93.0","93.0","12*7=84","Case","26.139","","720","33.5","Crestline New Jersey Inc"
"L270600513","","D15309","Heyuan Green Tea Noodles | 禾源 绿茶米纸 6bags*200g","面条类干货","米纸","禾源","06-23-2027/0.0","18.0","2027-06-23","54.0","54.0","","Case","29.759","","720","36.5","Crestline New Jersey Inc"
"L271000514","","D15309","Heyuan Green Tea Noodles | 禾源 绿茶米纸 6bags*200g","面条类干货","米纸","禾源","10-28-2027/0.0","18.0","2027-10-28","54.0","54.0","","Case","29.759","","720","36.5","Crestline New Jersey Inc"
"L280100515","","D15309","Heyuan Green Tea Noodles | 禾源 绿茶米纸 6bags*200g","面条类干货","米纸","禾源","01-07-2028/0.0","18.0","2028-01-07","54.0","54.0","","Case","29.759","","720","36.5","Crestline New Jersey Inc"
"2026-01-30","","D15309","Heyuan Green Tea Noodles | 禾源 绿茶米纸 6bags*200g","面条类干货","米纸","禾源","01-30-2026/0.0","0.0","2026-01-30","54.0","54.0","","Case","29.759","","720","36.5","Crestline New Jersey Inc"
"2025-11-29","","D15309","Heyuan Green Tea Noodles | 禾源 绿茶米纸 6bags*200g","面条类干货","米纸","禾源","11-29-2025/0.0","0.0","2025-11-29","54.0","54.0","","Case","29.759","","720","36.5","Crestline New Jersey Inc"
"L261000518","","F33313","Jinmei Osmanthus Flour | 金梅 桂花混合粉 & 油炸粉 6bags*1000g","面粉&淀粉类","混合粉 & 油炸粉","金梅","10-08-2026/0.0","0.0","2026-10-08","0.0","0.0","11*7=77","Case","35.93","","730","42.5","Crestline New Jersey Inc"
"L261200519","","F33313","Jinmei Osmanthus Flour | 金梅 桂花混合粉 & 油炸粉 6bags*1000g","面粉&淀粉类","混合粉 & 油炸粉","金梅","12-19-2026/0.0","0.0","2026-12-19","0.0","0.0","11*7=77","Case","35.93","","730","999.0","Crestline New Jersey Inc"
"L280200520","","F90297","Jinmei Milk Flour | 金梅 牛奶混合粉 & 油炸粉 8bags*200g","面粉&淀粉类","混合粉 & 油炸粉","金梅","02-09-2028/0.0","10.0","2028-02-09","19.0","19.0","5*8=40","Case","41.761","","730","50.0","Crestline New Jersey Inc"
"L280500521","","F90297","Jinmei Milk Flour | 金梅 牛奶混合粉 & 油炸粉 8bags*200g","面粉&淀粉类","混合粉 & 油炸粉","金梅","05-22-2028/0.0","9.0","2028-05-22","19.0","19.0","5*8=40","Case","41.761","","730","50.0","Crestline New Jersey Inc"
"L260400522","","F90297","Jinmei Milk Flour | 金梅 牛奶混合粉 & 油炸粉 8bags*200g","面粉&淀粉类","混合粉 & 油炸粉","金梅","04-18-2026/0.0","0.0","2026-04-18","19.0","19.0","5*8=40","Case","41.761","","730","50.0","Crestline New Jersey Inc"
"L261200523","","VHK87171","XILIANG Milk Care | 溪亮 牛奶家安 500ml","美容 & 健康 & 居家","家安","溪亮","12-02-2026/0.0","2.0","2026-12-02","2.0","2.0","","each","17.461","","1095","20.5","Crestline New Jersey Inc"
"L280400524","","VHK87171","XILIANG Milk Care | 溪亮 牛奶家安 500ml","美容 & 健康 & 居家","家安","溪亮","04-25-2028/0.0","0.0","2028-04-25","2.0","2.0","","each","17.461","","1095","20.5","Crestline New Jersey Inc"
"L280400525","","VHK87171","XILIANG Milk Care | 溪亮 牛奶家安 500ml","美容 & 健康 & 居家","家安","溪亮","04-17-2028/0.0","0.0","2028-04-17","2.0","2.0","","each","17.461","","1095","20.5","Crestline New Jersey Inc"
"2026-06-17","","VHK87171","XILIANG Milk Care | 溪亮 牛奶家安 500ml","美容 & 健康 & 居家","家安","溪亮","06-17-2026/0.0","0.0","2026-06-17","2.0","2.0","","each","17.461","","1095","20.5","Crestline New Jersey Inc"
"L260700527","","VPC80201","XILIANG Honey Care | 溪亮 蜂蜜个人护理 250ml","美容 & 健康 & 居家","个人护理","溪亮","07-05-2026/0.0","153.0","2026-07-05","153.0","452.0","12*10=120","each","9.397","已到警报日期","1095","10.5","Crestline New Jersey Inc"
"2025-12-03","","VPC80201","XILIANG Honey Care | 溪亮 蜂蜜个人护理 250ml","美容 & 健康 & 居家","个人护理","溪亮","12-03-2025/0.0","0.0","2025-12-03","153.0","452.0","12*10=120","each","9.397","","1095","10.5","Crestline New Jersey Inc"
"L260400529","","VPC80201","XILIANG Honey Care | 溪亮 蜂蜜个人护理 250ml","美容 & 健康 & 居家","个人护理","溪亮","04-28-2026/0.0","0.0","2026-04-28","153.0","452.0","12*10=120","each","9.397","","1095","10.5","Crestline New Jersey Inc"
"L261100530","","VFM79275","XILIANG Oolong Care | 溪亮 乌龙理肤泉 250ml","美容 & 健康 & 居家","理肤泉","溪亮","11-20-2026/0.0","11.0","2026-11-20","21.0","21.0","5*5=25","each","14.04","已到警报日期","1095","20.5","Crestline New Jersey Inc"
"L260900531","","VFM79275","XILIANG Oolong Care | 溪亮 乌龙理肤泉 250ml","美容 & 健康 & 居家","理肤泉","溪亮","09-16-2026/0.0","10.0","2026-09-16","21.0","21.0","5*5=25","each","14.04","已到警报日期","1095","20.5","Crestline New Jersey Inc"
"L260500532","","VFM79275","XILIANG Oolong Care | 溪亮 乌龙理肤泉 250ml","美容 & 健康 & 居家","理肤泉","溪亮","05-19-2026/0.0","0.0","2026-05-19","21.0","21.0","5*5=25","each","14.04","","1095","20.5","Crestline New Jersey Inc"
"L260100533","","VFM79275","XILIANG Oolong Care | 溪亮 乌龙理肤泉 250ml","美容 & 健康 & 居家","理肤泉","溪亮","01-13-2026/0.0","0.0","2026-01-13","21.0","21.0","5*5=25","each","14.04","","1095","20.5","Crestline New Jersey Inc"
"L280600534","","VHK54151","XILIANG Milk Care | 溪亮 牛奶家安 60ml","美容 & 健康 & 居家","家安","溪亮","06-11-2028/0.0","706.0","2028-06-11","706.0","706.0","15*6=90","each","6.507","","1095","9.0","Crestline New Jersey Inc"
"2026-07-07","","VHK54151","XILIANG Milk Care | 溪亮 牛奶家安 60ml","美容 & 健康 & 居家","家安","溪亮","07-07-2026/0.0","0.0","2026-07-07","706.0","706.0","15*6=90","each","6.507","","1095","9.0","Crestline New Jersey Inc"
"L260900536","","VCA79398","XILIANG Sea Salt Care | 溪亮 海盐时尚珠宝 400ml","美容 & 健康 & 居家","时尚珠宝","溪亮","09-27-2026/0.0","0.0","2026-09-27","0.0","168.0","5*6=30","each","18.512","","3650","21.5","Crestline New Jersey Inc"
"L261200537","","VCA33315","XILIANG Garlic Care | 溪亮 蒜香时尚珠宝 400ml","美容 & 健康 & 居家","时尚珠宝","溪亮","12-15-2026/0.0","16.0","2026-12-15","46.0","46.0","","each","11.861","","3650","16.0","Crestline New Jersey Inc"
"L290300538","","VCA33315","XILIANG Garlic Care | 溪亮 蒜香时尚珠宝 400ml","美容 & 健康 & 居家","时尚珠宝","溪亮","03-22-2029/0.0","15.0","2029-03-22","46.0","46.0","","each","11.861","","3650","16.0","Crestline New Jersey Inc"
"L321200539","","VCA33315","XILIANG Garlic Care | 溪亮 蒜香时尚珠宝 400ml","美容 & 健康 & 居家","时尚珠宝","溪亮","12-04-2032/0.0","15.0","2032-12-04","46.0","46.0","","each","11.861","","3650","16.0","Crestline New Jersey Inc"
"2026-02-25","","VCA33315","XILIANG Garlic Care | 溪亮 蒜香时尚珠宝 400ml","美容 & 健康 & 居家","时尚珠宝","溪亮","02-25-2026/0.0","0.0","2026-02-25","46.0","46.0","","each","11.861","","3650","16.0","Crestline New Jersey Inc"
"L271000541","","VPC18116","Anzhu Brown Sugar Food | 安竹 黑糖Personal Care 6bags*500g","Beauty & Health & Home","Personal Care","安竹","10-11-2027/0.0","9.0","2027-10-11","18.0","22.0","","Case","29.646","","1095","35.5","Crestline New Jersey Inc"
"L270600542","","VPC18116","Anzhu Brown Sugar Food | 安竹 黑糖Personal Care 6bags*500g","Beauty & Health & Home","Personal Care","安竹","06-30-2027/0.0","9.0","2027-06-30","18.0","22.0","","Case","29.646","","1095","35.5","Crestline New Jersey Inc"
"L270300543","","A73192","WANYUN Grape Drink | 湾云 葡萄乳酸菌饮料 20btls*330ml","饮料","乳酸菌饮料","湾云","03-15-2027/0.0","42.0","2027-03-15","124.0","132.0","4*5=20","Case","16.004","","360","24.0","Crestline New Jersey Inc"
"L270500544","","A73192","WANYUN Grape Drink | 湾云 葡萄乳酸菌饮料 20btls*330ml","饮料","乳酸菌饮料","湾云","05-02-2027/0.0","41.0","2027-05-02","124.0","132.0","4*5=20","Case","16.004","","360","24.0","Crestline New Jersey Inc"
"L270800545","","A73192","WANYUN Grape Drink | 湾云 葡萄乳酸菌饮料 20btls*330ml","饮料","乳酸菌饮料","湾云","08-27-2027/0.0","41.0","2027-08-27","124.0","132.0","4*5=20","Case","16.004","","360","24.0","Crestline New Jersey Inc"
"L270500546","","A38246","WANYUN Original Drink | 湾云 原味气泡水 20btls*280ml","饮料","气泡水","湾云","05-28-2027/0.0","77.0","2027-05-28","77.0","77.0","8*8=64","Case","15.564","","360","999.0","Crestline New Jersey Inc"
"L261000547","","A75180","WANYUN Chicken Drink | 湾云 鸡肉果汁 12btls*480ml","饮料","果汁","湾云","10-08-2026/0.0","3.0","2026-10-08","9.0","9.0","18*9=162","Case","13.701","已到警报日期","360","18.5","Crestline New Jersey Inc"
"L270200548","","A75180","WANYUN Chicken Drink | 湾云 鸡肉果汁 12btls*480ml","饮料","果汁","湾云","02-28-2027/0.0","3.0","2027-02-28","9.0","9.0","18*9=162","Case","13.701","","360","18.5","Crestline New Jersey Inc"
"L261200549","","A75180","WANYUN Chicken Drink | 湾云 鸡肉果汁 12btls*480ml","饮料","果汁","湾云","12-28-2026/0.0","3.0","2026-12-28","9.0","9.0","18*9=162","Case","13.701","","360","18.5","Crestline New Jersey Inc"
"L281200550","","E88274","Yuanwan Original Seasoning | 源湾 原味花椒调味品 6bags*500g","调味品","花椒调味品","源湾","12-21-2028/0.0","1.0","2028-12-21","3.0","4.0","16*11=176","Case","14.344","","1080","19.5","Crestline New Jersey Inc"
"L271200551","","E88274","Yuanwan Original Seasoning | 源湾 原味花椒调味品 6bags*500g","调味品","花椒调味品","源湾","12-06-2027/0.0","1.0","2027-12-06","3.0","4.0","16*11=176","Case","14.344","","1080","19.5","Crestline New Jersey Inc"
"L281000552","","E88274","Yuanwan Original Seasoning | 源湾 原味花椒调味品 6bags*500g","调味品","花椒调味品","源湾","10-01-2028/0.0","1.0","2028-10-01","3.0","4.0","16*11=176","Case","14.344","","1080","19.5","Crestline New Jersey Inc"
"L280900553","","E65293","Yuanwan Chocolate Seasoning | 源湾 巧克力黑胡椒 24bags*500g","调味品","黑胡椒","源湾","09-02-2028/0.0","35.0","2028-09-02","35.0","35.0","","Case","44.0","","1000","53.5","Crestline New Jersey Inc"
"L261200554","","E55114","Yuanwan Melon Seasoning | 源湾 哈密瓜蒜 1bag*50lb","调味品","蒜","源湾","12-29-2026/0.0","1.0","2026-12-29","1.0","1.0","6*9=54","Bag","43.48","","1080","58.0","Crestline New Jersey Inc"
"L270300555","","E55114","Yuanwan Melon Seasoning | 源湾 哈密瓜蒜 1bag*50lb","调味品","蒜","源湾","03-13-2027/0.0","0.0","2027-03-13","1.0","1.0","6*9=54","Bag","43.48","","1080","58.0","Crestline New Jersey Inc"
"2025-10-10","","E55114","Yuanwan Melon Seasoning | 源湾 哈密瓜蒜 1bag*50lb","调味品","蒜","源湾","10-10-2025/0.0","0.0","2025-10-10","1.0","1.0","6*9=54","Bag","43.48","","1080","58.0","Crestline New Jersey Inc"
"L290700557","","E52272","Yuanwan Jujube Seasoning | 源湾 红枣辣椒调味品 10bags*200g","调味品","辣椒调味品","源湾","07-11-2029/0.0","379.0","2029-07-11","1137.0","1364.0","","Case","25.304","","1080","29.0","Crestline New Jersey Inc"
"L280100558","","E52272","Yuanwan Jujube Seasoning | 源湾 红枣辣椒调味品 10bags*200g","调味品","辣椒调味品","源湾","01-22-2028/0.0","379.0","2028-01-22","1137.0","1364.0","","Case","25.304","","1080","29.0","Crestline New Jersey Inc"
"L290400559","","E52272","Yuanwan Jujube Seasoning | 源湾 红枣辣椒调味品 10bags*200g","调味品","辣椒调味品","源湾","04-20-2029/0.0","379.0","2029-04-20","1137.0","1364.0","","Case","25.304","","1080","29.0","Crestline New Jersey Inc"
"L261200560","","CJ53357","Shunling Mala Seasoning | 顺岭 麻辣烧烤酱 8bags*100g","调味品","烧烤酱","顺岭","12-12-2026/0.0","4.0","2026-12-12","12.0","12.0","6*10=60","Case","40.494","","540","999.0","Crestline New Jersey Inc"
"L270400561","","CJ53357","Shunling Mala Seasoning | 顺岭 麻辣烧烤酱 8bags*100g","调味品","烧烤酱","顺岭","04-03-2027/0.0","4.0","2027-04-03","12.0","12.0","6*10=60","Case","40.494","","540","52.0","Crestline New Jersey Inc"
"L271100562","","CJ53357","Shunling Mala Seasoning | 顺岭 麻辣烧烤酱 8bags*100g","调味品","烧烤酱","顺岭","11-15-2027/0.0","4.0","2027-11-15","12.0","12.0","6*10=60","Case","40.494","","540","52.0","Crestline New Jersey Inc"
"L251200563","","CJ53357","Shunling Mala Seasoning | 顺岭 麻辣烧烤酱 8bags*100g","调味品","烧烤酱","顺岭","12-15-2025/0.0","0.0","2025-12-15","12.0","12.0","6*10=60","Case","40.494","","540","52.0","Crestline New Jersey Inc"
"2026-06-22","","CJ53357","Shunling Mala Seasoning | 顺岭 麻辣烧烤酱 8bags*100g","调味品","烧烤酱","顺岭","06-22-2026/0.0","0.0","2026-06-22","12.0","12.0","6*10=60","Case","40.494","","540","52.0","Crestline New Jersey Inc"
"L270200565","","CJ11175","Shunling Mala Seasoning | 顺岭 麻辣烧烤酱 8bags*500g","调味品","烧烤酱","顺岭","02-21-2027/0.0","34.0","2027-02-21","34.0","34.0","","Case","38.241","","540","54.5","Crestline New Jersey Inc"
"L270600566","","H10356","Tianxian Matcha Eggs | 田鲜 抹茶皮蛋 8bags*400g","蛋","皮蛋","田鲜","06-13-2027/0.0","35.0","2027-06-13","101.0","104.0","12*5=60","Case","14.176","","360","20.0","Crestline New Jersey Inc"
"L270700567","","H10356","Tianxian Matcha Eggs | 田鲜 抹茶皮蛋 8bags*400g","蛋","皮蛋","田鲜","07-02-2027/0.0","33.0","2027-07-02","101.0","104.0","12*5=60","Case","14.176","","360","20.0","Crestline New Jersey Inc"
"L270500568","","H10356","Tianxian Matcha Eggs | 田鲜 抹茶皮蛋 8bags*400g","蛋","皮蛋","田鲜","05-29-2027/0.0","33.0","2027-05-29","101.0","104.0","12*5=60","Case","14.176","","360","20.0","Crestline New Jersey Inc"
"L251200569","","H10356","Tianxian Matcha Eggs | 田鲜 抹茶皮蛋 8bags*400g","蛋","皮蛋","田鲜","12-14-2025/0.0","0.0","2025-12-14","101.0","104.0","12*5=60","Case","14.176","","360","20.0","Crestline New Jersey Inc"
"2026-08-12","","H10356","Tianxian Matcha Eggs | 田鲜 抹茶皮蛋 8bags*400g","蛋","皮蛋","田鲜","08-12-2026/0.0","0.0","2026-08-12","101.0","104.0","12*5=60","Case","14.176","","360","20.0","Crestline New Jersey Inc"
"L261000571","","L87190","Qiaohe Jujube Dried Vegetables | 桥禾 红枣枣 6bags*400g","蔬菜类干货","枣","桥禾","10-01-2026/0.0","4.0","2026-10-01","8.0","28.0","11*13=143","Case","79.921","已到警报日期","360","112.5","Crestline New Jersey Inc"
"L270100572","","L87190","Qiaohe Jujube Dried Vegetables | 桥禾 红枣枣 6bags*400g","蔬菜类干货","枣","桥禾","01-07-2027/0.0","4.0","2027-01-07","8.0","28.0","11*13=143","Case","79.921","","360","112.5","Crestline New Jersey Inc"
"2026-02-28","","L87190","Qiaohe Jujube Dried Vegetables | 桥禾 红枣枣 6bags*400g","蔬菜类干货","枣","桥禾","02-28-2026/0.0","0.0","2026-02-28","8.0","28.0","11*13=143","Case","79.921","","360","112.5","Crestline New Jersey Inc"
"L260100574","","L87190","Qiaohe Jujube Dried Vegetables | 桥禾 红枣枣 6bags*400g","蔬菜类干货","枣","桥禾","01-26-2026/0.0","0.0","2026-01-26","8.0","28.0","11*13=143","Case","79.921","","360","112.5","Crestline New Jersey Inc"
"L261200575","","L19331","Qiaohe Chicken Dried Vegetables | 桥禾 鸡肉枣 12bags*100g","蔬菜类干货","枣","桥禾","12-14-2026/0.0","1.0","2026-12-14","3.0","3.0","14*7=98","Case","22.008","","360","32.5","Crestline New Jersey Inc"
"L270700576","","L19331","Qiaohe Chicken Dried Vegetables | 桥禾 鸡肉枣 12bags*100g","蔬菜类干货","枣","桥禾","07-21-2027/0.0","1.0","2027-07-21","3.0","3.0","14*7=98","Case","22.008","","360","32.5","Crestline New Jersey Inc"
"L261200577","","L19331","Qiaohe Chicken Dried Vegetables | 桥禾 鸡肉枣 12bags*100g","蔬菜类干货","枣","桥禾","12-30-2026/0.0","1.0","2026-12-30","3.0","3.0","14*7=98","Case","22.008","","360","32.5","Crestline New Jersey Inc"
"L270900578","","F04177","Wantian Taro Flour | 湾田 芋头淀粉 24bags*500g","面粉&淀粉类","淀粉","湾田","09-27-2027/0.0","0.0","2027-09-27","0.0","1.0","14*10=140","Case","26.759","","540","32.0","Crestline New Jersey Inc"
"L270300579","","F04177","Wantian Taro Flour | 湾田 芋头淀粉 24bags*500g","面粉&淀粉类","淀粉","湾田","03-08-2027/0.0","0.0","2027-03-08","0.0","1.0","14*10=140","Case","26.759","","540","32.0","Crestline New Jersey Inc"
"L270700580","","F04177","Wantian Taro Flour | 湾田 芋头淀粉 24bags*500g","面粉&淀粉类","淀粉","湾田","07-18-2027/0.0","0.0","2027-07-18","0.0","1.0","14*10=140","Case","26.759","","540","32.0","Crestline New Jersey Inc"
"L271000581","","F54267","Wantian Milk Flour | 湾田 牛奶混合粉 & 油炸粉 8bags*100g","面粉&淀粉类","混合粉 & 油炸粉","湾田","10-15-2027/0.0","319.0","2027-10-15","637.0","805.0","9*5=45","Case","37.694","","730","52.0","Crestline New Jersey Inc"
"L270400582","","F54267","Wantian Milk Flour | 湾田 牛奶混合粉 & 油炸粉 8bags*100g","面粉&淀粉类","混合粉 & 油炸粉","湾田","04-03-2027/0.0","318.0","2027-04-03","637.0","805.0","9*5=45","Case","37.694","","730","52.0","Crestline New Jersey Inc"
"L260100583","","F54267","Wantian Milk Flour | 湾田 牛奶混合粉 & 油炸粉 8bags*100g","面粉&淀粉类","混合粉 & 油炸粉","湾田","01-06-2026/0.0","0.0","2026-01-06","637.0","805.0","9*5=45","Case","37.694","","730","52.0","Crestline New Jersey Inc"
"2026-07-11","","F54267","Wantian Milk Flour | 湾田 牛奶混合粉 & 油炸粉 8bags*100g","面粉&淀粉类","混合粉 & 油炸粉","湾田","07-11-2026/0.0","0.0","2026-07-11","637.0","805.0","9*5=45","Case","37.694","","730","52.0","Crestline New Jersey Inc"
"L321000585","","VCA48126","Songmai BBQ Food | 松麦 烧烤Costume Jewelry 12bags*200g","Beauty & Health & Home","Costume Jewelry","松麦","10-10-2032/0.0","12.0","2032-10-10","32.0","45.0","9*13=117","Case","24.074","","3650","27.0","Crestline New Jersey Inc"
"L290700586","","VCA48126","Songmai BBQ Food | 松麦 烧烤Costume Jewelry 12bags*200g","Beauty & Health & Home","Costume Jewelry","松麦","07-03-2029/0.0","10.0","2029-07-03","32.0","45.0","9*13=117","Case","24.074","","3650","27.0","Crestline New Jersey Inc"
"L261200587","","VCA48126","Songmai BBQ Food | 松麦 烧烤Costume Jewelry 12bags*200g","Beauty & Health & Home","Costume Jewelry","松麦","12-21-2026/0.0","10.0","2026-12-21","32.0","45.0","9*13=117","Case","24.074","","3650","27.0","Crestline New Jersey Inc"
"2026-08-24","","VCA48126","Songmai BBQ Food | 松麦 烧烤Costume Jewelry 12bags*200g","Beauty & Health & Home","Costume Jewelry","松麦","08-24-2026/0.0","0.0","2026-08-24","32.0","45.0","9*13=117","Case","24.074","","3650","27.0","Crestline New Jersey Inc"
"L290700589","","VFM37384","Songmai Taro Food | 松麦 芋头理肤泉 100ml","Beauty & Health & Home","理肤泉","松麦","07-09-2029/0.0","5.0","2029-07-09","5.0","14.0","4*5=20","each","17.782","","1095","20.5","Crestline New Jersey Inc"
"L260500590","","VFM37384","Songmai Taro Food | 松麦 芋头理肤泉 100ml","Beauty & Health & Home","理肤泉","松麦","05-28-2026/0.0","0.0","2026-05-28","5.0","14.0","4*5=20","each","17.782","","1095","20.5","Crestline New Jersey Inc"
"L260600591","","E40151","WEIFU Tomato Spread | 味福 番茄黄糖 20bags*400g","蜂蜜果酱","黄糖","味福","06-02-2026/0.0","210.0","2026-06-02","210.0","265.0","4*8=32","Case","36.358","已到警报日期","1080","46.5","Crestline New Jersey Inc"
"L260500592","","E40151","WEIFU Tomato Spread | 味福 番茄黄糖 20bags*400g","蜂蜜果酱","黄糖","味福","05-23-2026/0.0","0.0","2026-05-23","210.0","265.0","4*8=32","Case","36.358","","1080","46.5","Crestline New Jersey Inc"
"L251100593","","E40151","WEIFU Tomato Spread | 味福 番茄黄糖 20bags*400g","蜂蜜果酱","黄糖","味福","11-11-2025/0.0","0.0","2025-11-11","210.0","265.0","4*8=32","Case","36.358","","1080","46.5","Crestline New Jersey Inc"
"L280500594","","E90312","WEIFU Pickled Vegetable Spread | 味福 酸菜黄糖 12bags*70g","蜂蜜果酱","黄糖","味福","05-30-2028/0.0","2.0","2028-05-30","4.0","6.0","","Case","21.18","","1080","27.0","Crestline New Jersey Inc"
"L270600595","","E90312","WEIFU Pickled Vegetable Spread | 味福 酸菜黄糖 12bags*70g","蜂蜜果酱","黄糖","味福","06-26-2027/0.0","2.0","2027-06-26","4.0","6.0","","Case","21.18","","1080","27.0","Crestline New Jersey Inc"
"L270700596","","B98321","ANWAN Grape Eggs | 安湾 葡萄鹌鹑蛋 6bags*1000g","蛋","鹌鹑蛋","安湾","07-04-2027/0.0","7.0","2027-07-04","14.0","19.0","12*14=168","Case","31.614","","360","47.0","Crestline New Jersey Inc"
"L270300597","","B98321","ANWAN Grape Eggs | 安湾 葡萄鹌鹑蛋 6bags*1000g","蛋","鹌鹑蛋","安湾","03-15-2027/0.0","7.0","2027-03-15","14.0","19.0","12*14=168","Case","31.614","","360","47.0","Crestline New Jersey Inc"
"L260700598","","H46233","ANWAN BBQ Eggs | 安湾 烧烤皮蛋 8bags*70g","蛋","皮蛋","安湾","07-31-2026/0.0","0.0","2026-07-31","0.0","2.0","6*6=36","Case","15.594","","360","17.5","Crestline New Jersey Inc"
"L261200599","","H46233","ANWAN BBQ Eggs | 安湾 烧烤皮蛋 8bags*70g","蛋","皮蛋","安湾","12-20-2026/0.0","0.0","2026-12-20","0.0","2.0","6*6=36","Case","15.594","","360","17.5","Crestline New Jersey Inc"
"L270400600","","H46233","ANWAN BBQ Eggs | 安湾 烧烤皮蛋 8bags*70g","蛋","皮蛋","安湾","04-07-2027/0.0","0.0","2027-04-07","0.0","2.0","6*6=36","Case","15.594","","360","17.5","Crestline New Jersey Inc"
"L251000601","","H46233","ANWAN BBQ Eggs | 安湾 烧烤皮蛋 8bags*70g","蛋","皮蛋","安湾","10-22-2025/0.0","0.0","2025-10-22","0.0","2.0","6*6=36","Case","15.594","","360","17.5","Crestline New Jersey Inc"
"2026-04-24","","H46233","ANWAN BBQ Eggs | 安湾 烧烤皮蛋 8bags*70g","蛋","皮蛋","安湾","04-24-2026/0.0","0.0","2026-04-24","0.0","2.0","6*6=36","Case","15.594","","360","17.5","Crestline New Jersey Inc"
"L270700603","","H31349","ANWAN Chicken Eggs | 安湾 鸡肉咸蛋 10bags*150g","蛋","咸蛋","安湾","07-10-2027/0.0","11.0","2027-07-10","29.0","29.0","6*9=54","Case","24.342","","360","30.0","Crestline New Jersey Inc"
"L260900604","","H31349","ANWAN Chicken Eggs | 安湾 鸡肉咸蛋 10bags*150g","蛋","咸蛋","安湾","09-02-2026/0.0","9.0","2026-09-02","29.0","29.0","6*9=54","Case","24.342","已到警报日期","360","30.0","Crestline New Jersey Inc"
